customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00081,Female,1,Yes,Yes,57,Yes,Fiber optic,Month-to-month,Credit card,67.57,3869.63,Yes
CUST00082,Male,0,No,No,59,Yes,DSL,Month-to-month,Credit card,53.59,3150.13,No
CUST00083,Female,0,Yes,Yes,8,Yes,Fiber optic,One year,Credit card,48.28,308.67,Yes
CUST00084,Male,0,No,Yes,19,No,Fiber optic,Month-to-month,Mailed check,87.94,1678.22,Yes
CUST00085,Male,0,No,No,32,Yes,No,One year,Mailed check,115.93,3711.84,No
CUST00086,Female,0,No,No,29,Yes,DSL,Month-to-month,Mailed check,78.11,2298.37,No
CUST00087,Male,0,Yes,Yes,41,Yes,DSL,One year,Bank transfer,111.25,4576.49,No
CUST00088,Female,0,No,No,45,Yes,Fiber optic,Month-to-month,Electronic check,21.42,977.36,Yes
CUST00089,Female,0,Yes,Yes,13,Yes,DSL,Month-to-month,Bank transfer,99.45,1349.63,Yes
CUST00090,Female,0,No,Yes,27,Yes,DSL,One year,Electronic check,105.36,2831.66,No
CUST00091,Female,0,Yes,No,19,Yes,Fiber optic,Month-to-month,Bank transfer,83.1,1620.83,Yes
CUST00092,Female,0,No,No,26,Yes,DSL,Month-to-month,Credit card,113.41,3013.08,Yes
CUST00093,Female,0,Yes,Yes,53,Yes,Fiber optic,One year,Mailed check,78.99,4158.79,No
CUST00094,Female,0,No,Yes,51,Yes,Fiber optic,Month-to-month,Bank transfer,44.05,2226.14,Yes
CUST00095,Female,0,No,Yes,37,Yes,Fiber optic,Month-to-month,Mailed check,41.57,1499.68,Yes
CUST00096,Female,0,No,No,9,No,DSL,Month-to-month,Bank transfer,75.58,612.35,Yes
CUST00097,Female,0,No,Yes,52,Yes,Fiber optic,Two year,Credit card,110.65,5845.99,No
CUST00098,Female,0,Yes,No,54,Yes,Fiber optic,Two year,Mailed check,27.24,1630.21,Yes
CUST00099,Male,0,Yes,Yes,3,Yes,Fiber optic,Month-to-month,Credit card,80.44,251.84,Yes
CUST00100,Male,0,Yes,No,69,No,DSL,Month-to-month,Electronic check,96.98,6675.09,Yes
CUST00101,Female,0,No,Yes,8,Yes,DSL,Month-to-month,Mailed check,31.54,339.21,No
CUST00102,Female,0,No,No,14,Yes,Fiber optic,Month-to-month,Bank transfer,31.68,473.57,No
CUST00103,Female,0,No,Yes,3,Yes,Fiber optic,One year,Mailed check,56.61,132.12,Yes
CUST00104,Female,0,No,Yes,24,Yes,No,Month-to-month,Electronic check,47.39,1093.45,Yes
CUST00105,Female,0,No,Yes,13,Yes,Fiber optic,Month-to-month,Electronic check,39.83,558.73,Yes
CUST00106,Female,0,No,Yes,43,No,Fiber optic,Two year,Bank transfer,39.87,1733.57,No
CUST00107,Female,0,Yes,No,29,Yes,Fiber optic,One year,Credit card,33.07,1015.15,No
CUST00108,Female,0,Yes,No,51,Yes,Fiber optic,One year,Mailed check,81.09,4170.78,Yes
CUST00109,Male,0,Yes,No,42,No,Fiber optic,Two year,Credit card,88.81,3668.99,No
CUST00110,Female,0,Yes,No,31,Yes,DSL,One year,Credit card,90.29,2760.31,No
CUST00111,Male,0,Yes,No,63,Yes,Fiber optic,Month-to-month,Bank transfer,73.24,4570.23,Yes
CUST00112,Female,0,Yes,Yes,26,No,Fiber optic,Month-to-month,Mailed check,115.29,3008.39,Yes
CUST00113,Female,0,Yes,No,18,Yes,Fiber optic,Month-to-month,Electronic check,108.05,1938.74,No
CUST00114,Male,0,Yes,No,57,Yes,Fiber optic,Month-to-month,Bank transfer,115.76,6575.54,Yes
CUST00115,Female,0,No,No,7,Yes,Fiber optic,One year,Credit card,58.88,396.61,No
CUST00116,Male,0,No,No,48,Yes,DSL,Month-to-month,Electronic check,107.78,5207.14,Yes
CUST00117,Female,0,No,Yes,60,Yes,DSL,Month-to-month,Credit card,96.29,5768.35,No
CUST00118,Female,0,No,Yes,33,Yes,Fiber optic,Month-to-month,Mailed check,54.0,1747.95,Yes
CUST00119,Male,0,No,Yes,3,Yes,DSL,Month-to-month,Credit card,30.66,26.72,Yes
CUST00120,Female,0,No,Yes,4,Yes,Fiber optic,Two year,Electronic check,88.26,307.89,Yes
CUST00121,Male,1,No,No,4,Yes,DSL,One year,Mailed check,33.65,188.01,No
CUST00122,Female,0,Yes,No,42,Yes,DSL,Month-to-month,Bank transfer,49.38,2040.55,No
CUST00123,Male,1,Yes,Yes,9,Yes,DSL,Month-to-month,Credit card,70.04,721.05,Yes
CUST00124,Male,0,No,Yes,51,No,Fiber optic,One year,Mailed check,87.99,4518.97,No
CUST00125,Female,1,Yes,No,17,Yes,Fiber optic,One year,Mailed check,112.62,1873.72,No
CUST00126,Female,0,Yes,No,17,Yes,DSL,Month-to-month,Bank transfer,79.32,1317.81,Yes
CUST00127,Male,0,Yes,Yes,20,Yes,DSL,Two year,Bank transfer,87.14,1637.36,No
CUST00128,Female,0,Yes,Yes,14,Yes,No,Two year,Electronic check,51.0,692.01,No
CUST00129,Female,0,Yes,Yes,22,Yes,Fiber optic,Two year,Mailed check,88.73,2049.49,No
CUST00130,Female,0,No,Yes,52,No,Fiber optic,One year,Mailed check,63.78,3398.22,No
CUST00131,Male,0,Yes,No,27,Yes,No,Two year,Electronic check,105.69,2934.05,No
CUST00132,Male,0,No,No,43,Yes,No,Month-to-month,Credit card,59.25,2578.21,Yes
CUST00133,Male,0,No,No,3,Yes,Fiber optic,Two year,Mailed check,66.83,191.59,Yes
CUST00134,Male,0,No,Yes,8,Yes,DSL,Two year,Mailed check,63.26,510.97,Yes
CUST00135,Male,0,Yes,No,10,Yes,No,Two year,Credit card,101.11,1038.34,No
CUST00136,Male,1,No,No,29,Yes,Fiber optic,One year,Bank transfer,115.37,3344.92,No
CUST00137,Male,0,No,Yes,40,Yes,Fiber optic,Month-to-month,Bank transfer,52.73,2069.9,Yes
CUST00138,Male,1,No,Yes,65,Yes,DSL,Month-to-month,Bank transfer,67.5,4383.9,No
CUST00139,Male,0,No,Yes,21,Yes,No,Month-to-month,Electronic check,90.59,1834.75,Yes
CUST00140,Female,0,Yes,Yes,24,Yes,Fiber optic,One year,Credit card,109.54,2658.7,No
CUST00141,Male,0,No,Yes,60,Yes,Fiber optic,Month-to-month,Bank transfer,69.37,4116.76,Yes
CUST00142,Female,0,No,Yes,26,Yes,DSL,Month-to-month,Electronic check,30.89,831.62,No
CUST00143,Female,0,No,No,9,Yes,DSL,Month-to-month,Credit card,56.87,457.82,Yes
CUST00144,Female,0,No,No,20,Yes,No,One year,Bank transfer,75.04,1492.49,No
CUST00145,Male,0,Yes,No,56,Yes,Fiber optic,Two year,Mailed check,61.75,3471.75,No
CUST00146,Male,1,No,No,36,Yes,DSL,One year,Mailed check,38.66,1383.56,No
CUST00147,Male,0,No,No,36,Yes,Fiber optic,One year,Bank transfer,23.7,885.19,No
CUST00148,Male,0,No,No,22,Yes,DSL,Month-to-month,Bank transfer,88.74,1974.66,No
CUST00149,Female,0,No,Yes,1,Yes,Fiber optic,One year,Electronic check,119.27,98.18,No
CUST00150,Male,0,No,Yes,69,Yes,DSL,Month-to-month,Mailed check,111.92,7692.98,No
CUST00151,Male,0,No,Yes,37,No,DSL,Month-to-month,Credit card,88.33,3235.15,No
CUST00152,Male,0,Yes,No,13,No,DSL,Two year,Bank transfer,104.15,1313.71,No
CUST00153,Male,0,No,No,43,Yes,DSL,One year,Credit card,45.57,2064.37,No
CUST00154,Male,0,Yes,Yes,37,Yes,DSL,One year,Bank transfer,82.24,3011.35,No
CUST00155,Female,0,Yes,Yes,25,Yes,Fiber optic,Month-to-month,Mailed check,26.06,706.11,Yes
CUST00156,Male,0,No,Yes,21,Yes,No,Month-to-month,Bank transfer,90.72,1913.31,No
CUST00157,Female,1,Yes,Yes,41,Yes,Fiber optic,Month-to-month,Credit card,116.99,4778.82,Yes
CUST00158,Male,0,No,Yes,42,No,DSL,Month-to-month,Mailed check,106.08,4465.07,No
CUST00159,Female,0,Yes,No,42,Yes,DSL,Month-to-month,Bank transfer,73.44,3097.21,Yes
CUST00160,Male,0,No,No,2,Yes,Fiber optic,Month-to-month,Mailed check,98.87,109.85,Yes
CUST00161,Male,1,Yes,No,68,Yes,No,Month-to-month,Electronic check,114.39,7774.63,Yes
CUST00162,Female,0,Yes,Yes,8,Yes,DSL,One year,Credit card,41.6,333.12,Yes
CUST00163,Female,0,No,No,61,Yes,DSL,Two year,Bank transfer,99.33,6042.68,No
CUST00164,Female,0,Yes,Yes,14,Yes,Fiber optic,One year,Bank transfer,46.98,551.58,No
CUST00165,Male,0,Yes,No,21,Yes,Fiber optic,Two year,Bank transfer,107.69,2244.89,No
CUST00166,Female,0,Yes,Yes,24,Yes,Fiber optic,Month-to-month,Credit card,29.84,796.84,Yes
CUST00167,Male,0,Yes,Yes,50,Yes,Fiber optic,One year,Electronic check,37.82,1918.53,Yes
CUST00168,Male,0,Yes,No,45,Yes,Fiber optic,Month-to-month,Credit card,92.06,4090.07,Yes
CUST00169,Female,0,No,No,64,No,No,Month-to-month,Bank transfer,37.48,2443.38,Yes
CUST00170,Female,0,Yes,No,64,Yes,DSL,Month-to-month,Credit card,35.81,2236.48,Yes
CUST00171,Male,0,Yes,No,26,Yes,No,Month-to-month,Bank transfer,75.55,1977.74,Yes
CUST00172,Male,0,No,No,32,Yes,DSL,One year,Credit card,103.5,3325.86,No
CUST00173,Female,0,No,Yes,57,Yes,Fiber optic,Month-to-month,Mailed check,46.85,2652.1,Yes
CUST00174,Female,1,No,No,53,Yes,Fiber optic,Two year,Credit card,104.11,5569.94,Yes
CUST00175,Female,0,Yes,No,33,Yes,Fiber optic,Two year,Bank transfer,100.8,3364.08,No
CUST00176,Male,0,Yes,Yes,52,Yes,Fiber optic,Month-to-month,Bank transfer,77.91,4012.55,No
CUST00177,Male,0,Yes,No,18,Yes,DSL,Month-to-month,Credit card,84.66,1509.38,Yes
CUST00178,Male,0,Yes,Yes,35,Yes,DSL,One year,Credit card,24.04,798.56,No
CUST00179,Male,0,No,No,12,Yes,Fiber optic,Month-to-month,Mailed check,56.71,651.85,Yes
CUST00180,Male,0,No,No,51,No,Fiber optic,Month-to-month,Electronic check,46.34,2395.85,Yes
CUST00181,Male,0,Yes,Yes,10,Yes,DSL,One year,Electronic check,35.0,349.33,No
CUST00182,Female,0,Yes,No,52,No,No,Two year,Mailed check,58.97,3117.91,No
CUST00183,Male,0,Yes,No,34,Yes,DSL,One year,Electronic check,55.49,1807.63,No
CUST00184,Male,0,Yes,No,67,No,Fiber optic,Month-to-month,Electronic check,92.89,6237.43,Yes
CUST00185,Male,0,No,No,39,Yes,DSL,Month-to-month,Bank transfer,79.81,3154.15,Yes
CUST00186,Female,0,No,Yes,8,Yes,Fiber optic,Month-to-month,Bank transfer,111.31,895.55,Yes
CUST00187,Male,0,Yes,Yes,29,Yes,DSL,Month-to-month,Bank transfer,34.54,933.51,No
CUST00188,Male,0,No,No,22,Yes,Fiber optic,Month-to-month,Credit card,25.97,518.84,Yes
CUST00189,Female,0,Yes,No,70,Yes,DSL,Month-to-month,Credit card,73.46,5187.63,Yes
CUST00190,Male,0,Yes,Yes,61,Yes,DSL,Two year,Electronic check,20.1,1199.45,No
CUST00191,Male,0,No,Yes,43,Yes,Fiber optic,One year,Credit card,98.77,4208.13,No
CUST00192,Male,0,Yes,No,49,Yes,Fiber optic,One year,Bank transfer,70.6,3442.46,No
CUST00193,Male,0,No,Yes,29,Yes,DSL,Two year,Credit card,68.81,1982.83,No
CUST00194,Male,1,Yes,Yes,31,Yes,DSL,Month-to-month,Electronic check,56.25,1803.06,No
CUST00195,Female,0,No,Yes,53,Yes,Fiber optic,Month-to-month,Bank transfer,57.5,2960.24,Yes
CUST00196,Female,0,Yes,Yes,34,Yes,DSL,One year,Electronic check,63.11,2174.53,No
CUST00197,Female,0,No,No,38,No,No,Two year,Credit card,21.6,893.84,No
CUST00198,Male,0,Yes,Yes,57,Yes,Fiber optic,Month-to-month,Mailed check,28.35,1663.22,No
CUST00199,Male,0,Yes,No,4,Yes,DSL,Month-to-month,Mailed check,70.5,398.19,No
CUST00200,Male,0,No,No,2,Yes,Fiber optic,One year,Bank transfer,35.01,47.15,Yes
CUST00201,Female,1,Yes,Yes,12,Yes,Fiber optic,Month-to-month,Electronic check,97.88,1219.17,Yes
CUST00202,Male,0,No,No,35,Yes,DSL,Month-to-month,Mailed check,47.45,1656.45,Yes
CUST00203,Male,0,No,No,70,Yes,Fiber optic,Month-to-month,Mailed check,29.79,2059.36,Yes
CUST00204,Female,0,Yes,Yes,21,No,Fiber optic,Two year,Bank transfer,43.52,802.92,Yes
CUST00205,Male,0,Yes,Yes,61,Yes,No,Month-to-month,Bank transfer,55.71,3375.07,No
CUST00206,Female,0,Yes,Yes,35,Yes,Fiber optic,Two year,Electronic check,23.53,876.8,Yes
CUST00207,Female,0,Yes,No,48,Yes,DSL,Month-to-month,Mailed check,34.17,1554.38,Yes
CUST00208,Female,0,No,No,15,Yes,DSL,Month-to-month,Electronic check,52.38,890.58,Yes
CUST00209,Male,0,Yes,No,71,Yes,DSL,Two year,Electronic check,51.05,3645.04,No
CUST00210,Male,0,Yes,No,15,Yes,DSL,Month-to-month,Bank transfer,100.04,1445.33,Yes
CUST00211,Male,0,Yes,Yes,6,Yes,DSL,Month-to-month,Electronic check,104.33,637.41,No
CUST00212,Male,0,No,No,68,Yes,Fiber optic,Month-to-month,Credit card,39.34,2709.46,Yes
CUST00213,Male,0,Yes,Yes,22,Yes,DSL,One year,Electronic check,32.39,688.14,No
CUST00214,Male,0,No,Yes,32,Yes,DSL,Month-to-month,Mailed check,83.42,2638.24,Yes
CUST00215,Male,0,Yes,Yes,22,Yes,Fiber optic,Month-to-month,Electronic check,100.46,2308.83,Yes
CUST00216,Female,0,No,Yes,27,Yes,DSL,One year,Credit card,116.37,3125.0,No
CUST00217,Male,1,Yes,No,15,Yes,DSL,Month-to-month,Credit card,20.68,303.02,Yes
CUST00218,Female,0,Yes,Yes,44,Yes,DSL,Month-to-month,Mailed check,61.37,2766.45,Yes
CUST00219,Male,0,No,No,9,Yes,DSL,One year,Mailed check,93.4,836.96,No
CUST00220,Male,1,Yes,Yes,34,Yes,Fiber optic,Month-to-month,Electronic check,102.86,3535.47,No
CUST00221,Male,0,Yes,Yes,15,Yes,Fiber optic,Month-to-month,Credit card,26.23,369.86,No
CUST00222,Female,0,Yes,Yes,62,Yes,DSL,One year,Credit card,88.06,5424.83,No
CUST00223,Female,0,No,No,45,Yes,DSL,Two year,Electronic check,48.89,2219.09,No
CUST00224,Female,0,Yes,Yes,58,Yes,DSL,Month-to-month,Mailed check,27.46,1543.63,Yes
CUST00225,Female,0,No,Yes,19,Yes,Fiber optic,Month-to-month,Credit card,68.91,1329.65,Yes
CUST00226,Male,0,No,Yes,16,Yes,Fiber optic,One year,Electronic check,35.82,527.23,No
CUST00227,Female,0,No,Yes,8,Yes,Fiber optic,Month-to-month,Mailed check,93.7,769.48,Yes
CUST00228,Male,0,Yes,No,33,Yes,DSL,Month-to-month,Electronic check,94.13,3168.04,No
CUST00229,Male,0,No,No,18,Yes,DSL,Month-to-month,Mailed check,104.21,1776.11,Yes
CUST00230,Female,0,No,Yes,35,Yes,Fiber optic,One year,Mailed check,57.76,2001.04,No
CUST00231,Female,0,Yes,Yes,43,Yes,Fiber optic,Month-to-month,Credit card,21.33,819.2,Yes
CUST00232,Female,0,No,No,50,Yes,No,One year,Bank transfer,45.97,2283.83,No
CUST00233,Female,1,No,No,3,Yes,DSL,One year,Credit card,66.78,217.15,No
CUST00234,Female,1,Yes,No,59,Yes,Fiber optic,Month-to-month,Electronic check,89.4,5257.6,Yes
CUST00235,Female,0,Yes,Yes,28,Yes,Fiber optic,Month-to-month,Mailed check,58.2,1522.55,Yes
CUST00236,Female,1,No,No,46,Yes,No,Two year,Credit card,73.6,3430.54,No
CUST00237,Female,0,Yes,Yes,64,Yes,DSL,Month-to-month,Mailed check,72.43,4562.53,Yes
CUST00238,Male,1,Yes,No,70,Yes,Fiber optic,Month-to-month,Credit card,36.5,2596.78,Yes
CUST00239,Female,0,Yes,No,47,No,DSL,One year,Electronic check,82.3,3830.76,No
CUST00240,Female,0,No,Yes,14,Yes,Fiber optic,Month-to-month,Electronic check,63.93,851.5,Yes
CUST00241,Male,0,No,No,7,No,DSL,Month-to-month,Electronic check,100.79,706.07,Yes
CUST00242,Female,0,Yes,Yes,31,Yes,Fiber optic,Month-to-month,Credit card,89.06,2814.17,Yes
CUST00243,Male,0,No,No,51,Yes,Fiber optic,Month-to-month,Bank transfer,31.15,1686.43,No
CUST00244,Male,0,Yes,Yes,29,Yes,DSL,Month-to-month,Electronic check,68.88,1977.01,Yes
CUST00245,Female,0,Yes,No,15,Yes,Fiber optic,One year,Credit card,90.25,1288.65,No
CUST00246,Male,0,Yes,No,25,Yes,DSL,Two year,Bank transfer,28.7,734.79,No
CUST00247,Male,0,Yes,Yes,61,Yes,Fiber optic,Month-to-month,Credit card,99.25,5987.29,Yes
CUST00248,Male,0,Yes,Yes,41,Yes,DSL,Month-to-month,Credit card,42.2,1767.39,No
CUST00249,Male,0,No,Yes,69,Yes,DSL,Month-to-month,Electronic check,70.31,4873.57,Yes
CUST00250,Female,0,No,Yes,4,Yes,Fiber optic,Month-to-month,Bank transfer,114.06,523.98,Yes
CUST00251,Male,0,No,No,57,Yes,DSL,Month-to-month,Credit card,77.13,4449.09,Yes
CUST00252,Female,0,No,No,31,Yes,Fiber optic,Month-to-month,Credit card,62.41,1941.69,No
CUST00253,Male,0,Yes,No,3,Yes,Fiber optic,Two year,Credit card,20.68,63.6,No
CUST00254,Male,1,Yes,No,67,Yes,No,Month-to-month,Credit card,33.34,2189.42,Yes
CUST00255,Male,0,No,No,50,Yes,Fiber optic,Month-to-month,Electronic check,77.87,3848.14,Yes
CUST00256,Male,0,No,No,17,No,DSL,Month-to-month,Credit card,69.38,1177.4,Yes
CUST00257,Female,1,Yes,Yes,60,Yes,Fiber optic,Month-to-month,Bank transfer,56.38,3328.94,Yes
CUST00258,Female,0,Yes,No,66,Yes,DSL,Two year,Mailed check,112.32,7399.73,No
CUST00259,Male,0,Yes,No,24,Yes,No,Month-to-month,Bank transfer,53.25,1254.47,No
CUST00260,Male,0,No,Yes,32,Yes,Fiber optic,Two year,Credit card,73.72,2388.67,No
CUST00261,Female,0,Yes,No,19,Yes,Fiber optic,Month-to-month,Credit card,76.87,1459.41,Yes
CUST00262,Male,0,Yes,No,66,Yes,DSL,One year,Bank transfer,72.75,4851.25,No
CUST00263,Male,0,No,No,60,Yes,Fiber optic,Two year,Mailed check,67.76,4050.51,No
CUST00264,Male,0,No,Yes,66,Yes,Fiber optic,Month-to-month,Electronic check,53.71,3486.39,Yes
CUST00265,Female,1,No,Yes,15,Yes,Fiber optic,Month-to-month,Mailed check,110.88,1690.65,Yes
CUST00266,Female,0,Yes,No,35,No,DSL,One year,Mailed check,65.08,2271.6,No
CUST00267,Female,0,Yes,Yes,69,Yes,No,Month-to-month,Mailed check,72.84,5012.46,No
CUST00268,Male,0,No,No,27,Yes,DSL,One year,Bank transfer,85.65,2291.44,No
CUST00269,Male,0,Yes,No,7,Yes,Fiber optic,Month-to-month,Mailed check,26.77,186.81,Yes
